text,cmp_code,eu_code,pos,manifesto_id,party,date,language,source,has_eu_code,is_primary_doc,may_contradict_core_dataset,md5sum_text,url_original,md5sum_original,annotations,handbook,is_copy_of,title,id,manifesto_id_section
PREÁMBULO,,,1,33903_200803,33903,200803,spanish,MARPOR,True,True,False,bc405f6af7e66784dd35ea5eaddb0844,/down/originals/33903_2008.pdf,72c810bafbcabee1b9f29b0296004310,True,2.0,,Elecciones Generales 2008. Eusko Alkartasuna. Programa 1.6,33903_200803,33903_200803_1
La legislatura que ahora termina ha sido especialmente dura para las esperanzas de la sociedad vasca de lograr la paz y alcanzar un nivel de normalización política acorde con sus demandas.,106,,2,33903_200803,33903,200803,spanish,MARPOR,True,True,False,bc405f6af7e66784dd35ea5eaddb0844,/down/originals/33903_2008.pdf,72c810bafbcabee1b9f29b0296004310,True,2.0,,Elecciones Generales 2008. Eusko Alkartasuna. Programa 1.6,33903_200803,33903_200803_1
"Un nuevo gobierno socialista, surgido casi por sorpresa,  anunciaba su voluntad en avanzar en el respeto a los derechos individuales y sociales y  generaba nuevas expectativas tras años de gobierno del Partido Popular caracterizados por el renacimiento de una visión ultranacionalista de la política española y por el enfrentamiento desde el Estado contra cualquier ansia de desarrollo de autogobierno por parte de las Comunidades Históricas y especialmente hostil con las demandas del Pueblo Vasco a través de sus instituciones democráticas.",305,,3,33903_200803,33903,200803,spanish,MARPOR,True,True,False,bc405f6af7e66784dd35ea5eaddb0844,/down/originals/33903_2008.pdf,72c810bafbcabee1b9f29b0296004310,True,2.0,,Elecciones Generales 2008. Eusko Alkartasuna. Programa 1.6,33903_200803,33903_200803_1
"Estas expectativas de cambio y renovación duraron, sin embargo, muy poco.",305,,4,33903_200803,33903,200803,spanish,MARPOR,True,True,False,bc405f6af7e66784dd35ea5eaddb0844,/down/originals/33903_2008.pdf,72c810bafbcabee1b9f29b0296004310,True,2.0,,Elecciones Generales 2008. Eusko Alkartasuna. Programa 1.6,33903_200803,33903_200803_1
"Tras la aprobación por la mayoría absoluta del Parlamento Vasco del nuevo Estatuto Político, se pudo comprobar cómo no habían cambiado las cosas en el Estado.",602,,5,33903_200803,33903,200803,spanish,MARPOR,True,True,False,bc405f6af7e66784dd35ea5eaddb0844,/down/originals/33903_2008.pdf,72c810bafbcabee1b9f29b0296004310,True,2.0,,Elecciones Generales 2008. Eusko Alkartasuna. Programa 1.6,33903_200803,33903_200803_1
"El rechazo frontal con que la representación institucional de la sociedad vasca se encontró en los órganos del Estado y en la generalidad de los partidos de obediencia estatal española, negándose a cualquier cambio del status político de la CAV sin tan siquiera una tentativa de negociación por tímida que ésta fuera, nos enseñó  hasta dónde llegaban los nuevos aires aportados por el Presidente Zapatero.",602,,6,33903_200803,33903,200803,spanish,MARPOR,True,True,False,bc405f6af7e66784dd35ea5eaddb0844,/down/originals/33903_2008.pdf,72c810bafbcabee1b9f29b0296004310,True,2.0,,Elecciones Generales 2008. Eusko Alkartasuna. Programa 1.6,33903_200803,33903_200803_1
"Nuevos aires que volvieron a mostrarse viciados cuando asistimos a un cierre en falso en materias tan sensibles como la memoria histórica y la ausencia de cumplimiento en cuestiones como la devolución de la documentación depositada por el régimen dictatorial en Salamanca,",301,,7,33903_200803,33903,200803,spanish,MARPOR,True,True,False,bc405f6af7e66784dd35ea5eaddb0844,/down/originals/33903_2008.pdf,72c810bafbcabee1b9f29b0296004310,True,2.0,,Elecciones Generales 2008. Eusko Alkartasuna. Programa 1.6,33903_200803,33903_200803_1
"la anulación de juicios de la época franquista,",301,,8,33903_200803,33903,200803,spanish,MARPOR,True,True,False,bc405f6af7e66784dd35ea5eaddb0844,/down/originals/33903_2008.pdf,72c810bafbcabee1b9f29b0296004310,True,2.0,,Elecciones Generales 2008. Eusko Alkartasuna. Programa 1.6,33903_200803,33903_200803_1
"la atención efectiva a quienes sufrieron la represión por parte del franquismo, etc.",301,,9,33903_200803,33903,200803,spanish,MARPOR,True,True,False,bc405f6af7e66784dd35ea5eaddb0844,/down/originals/33903_2008.pdf,72c810bafbcabee1b9f29b0296004310,True,2.0,,Elecciones Generales 2008. Eusko Alkartasuna. Programa 1.6,33903_200803,33903_200803_1
"Ni siquiera en el reconocimiento de la realidad pluricultural del Estado, sus diversas lenguas oficiales, e incluso cuestiones especialmente simbólicas como el reconocimiento de las selecciones deportivas de las comunidades históricas, el Gobierno socialista demostró una voluntad diferente de sus antecesores conservadores.",305,,10,33903_200803,33903,200803,spanish,MARPOR,True,True,False,bc405f6af7e66784dd35ea5eaddb0844,/down/originals/33903_2008.pdf,72c810bafbcabee1b9f29b0296004310,True,2.0,,Elecciones Generales 2008. Eusko Alkartasuna. Programa 1.6,33903_200803,33903_200803_1
"Sin embargo, todavía debía producirse una situación aún más frustrante que lo acontecido en el Congreso de los Diputados.",000,,11,33903_200803,33903,200803,spanish,MARPOR,True,True,False,bc405f6af7e66784dd35ea5eaddb0844,/down/originals/33903_2008.pdf,72c810bafbcabee1b9f29b0296004310,True,2.0,,Elecciones Generales 2008. Eusko Alkartasuna. Programa 1.6,33903_200803,33903_200803_1
"El inicio del proceso negociador entre Estado y ETA, acompañado de la declaración de tregua permanente de ésta, parecía que podía llevarnos a una nueva situación en la que  acabase la permanente situación de violencia que hemos vivido en las últimas décadas.",106,,12,33903_200803,33903,200803,spanish,MARPOR,True,True,False,bc405f6af7e66784dd35ea5eaddb0844,/down/originals/33903_2008.pdf,72c810bafbcabee1b9f29b0296004310,True,2.0,,Elecciones Generales 2008. Eusko Alkartasuna. Programa 1.6,33903_200803,33903_200803_1
"Las declaraciones realizadas desde el Estado y especialmente desde el Partido Socialista parecían sugerir un nivel de maduración en los contactos previos que garantizasen un proceso con bases ciertas, laboriosamente trabajadas y con posibilidades altas de finalizar con éxito.",106,,13,33903_200803,33903,200803,spanish,MARPOR,True,True,False,bc405f6af7e66784dd35ea5eaddb0844,/down/originals/33903_2008.pdf,72c810bafbcabee1b9f29b0296004310,True,2.0,,Elecciones Generales 2008. Eusko Alkartasuna. Programa 1.6,33903_200803,33903_200803_1
"Sin embargo, el tiempo las ha situado en su verdadera dimensión.",602,,14,33903_200803,33903,200803,spanish,MARPOR,True,True,False,bc405f6af7e66784dd35ea5eaddb0844,/down/originals/33903_2008.pdf,72c810bafbcabee1b9f29b0296004310,True,2.0,,Elecciones Generales 2008. Eusko Alkartasuna. Programa 1.6,33903_200803,33903_200803_1
